BOYNAME     |      RELATIONSHIP      |       GIRLNAME       |       DATE       |      TIME
-----------------------------------------------------------------------------------------------------------
PIOPMWK     commited to     FXFJQJF        10/04/2017    04:09:34
NYRBWFT     commited to     KPQRAQL        10/04/2017    04:09:34
JIKGAST     commited to     XFSHOJB        10/04/2017    04:09:34
IDEBCRB     commited to     RYTVMAT        10/04/2017    04:09:34
BSBGXJU     commited to     IFWMORE        10/04/2017    04:09:34
RTJFOOX     commited to     DDFAXJQ        10/04/2017    04:09:34
TKFHIYO     commited to     NYGVVGC        10/04/2017    04:09:34
AWTYPIY     commited to     FHNTUWI        10/04/2017    04:09:34
JEKRLDP     commited to     UYNFIKY        10/04/2017    04:09:34
EMYHETT     commited to     TIXSOJQ        10/04/2017    04:09:34
RLFEVHF     commited to     MYCFKAP        10/04/2017    04:09:34
CUUPCRK     commited to     JFMITJK        10/04/2017    04:09:34
HVSCMUF     commited to     OPJPKCM        10/04/2017    04:09:34
HMJIDMD     commited to     EDLSXAK        10/04/2017    04:09:34
CSIMPDK     commited to     QENTVBL        10/04/2017    04:09:34
KRYNCQL     commited to     NWJMHNN        10/04/2017    04:09:34
WTAXBGB     commited to     RBFJWAX        10/04/2017    04:09:34
FOGQDXU     commited to     FPMRPCD        10/04/2017    04:09:34
DORYNIK     commited to     CAKWIOE        10/04/2017    04:09:34
GPGDANU     commited to     XBMNCOO        10/04/2017    04:09:34
RHQIKYY     commited to     ILKAEDY        10/04/2017    04:09:34
