BOYNAME     |      RELATIONSHIP      |       GIRLNAME       |       DATE       |      TIME
-----------------------------------------------------------------------------------------------------------
QRLCHEK    broke up with     MGUDKSI     10/04/2017    04:10:34
XUHINFK    broke up with     BGSGFDR     10/04/2017    04:10:34
BSENGVV    broke up with     QJLNEGU     10/04/2017    04:10:34
KCEWIBL    broke up with     INYDPFP     10/04/2017    04:10:34
LVECQIA    broke up with     OQNKRVA     10/04/2017    04:10:34
UFULBRR    broke up with     ANKCMYP     10/04/2017    04:10:34
SOQXVON    broke up with     MFVRGKE     10/04/2017    04:10:34
UDGTWNC    broke up with     SXOJJTJ     10/04/2017    04:10:34
TCGNYPA    broke up with     QBPQBLC     10/04/2017    04:10:34
XPNSXRX    broke up with     WRHJXDS     10/04/2017    04:10:34
LDWWIJR    broke up with     RXTBCOO     10/04/2017    04:10:34
EFLXKJW    broke up with     GGHMSFY     10/04/2017    04:10:34
MHLINJT    broke up with     DITKUXK     10/04/2017    04:10:34
PMKEKKT    broke up with     PTSPOLG     10/04/2017    04:10:34
FGHHPNC    broke up with     UFSFUBY     10/04/2017    04:10:34
EKOPTUC    broke up with     QEQQETG     10/04/2017    04:10:34
CGRDPXF    broke up with     HNTGABO     10/04/2017    04:10:34
FTQDYCB    broke up with     GGFFLKQ     10/04/2017    04:10:34
RNYMWID    broke up with     WXRKGJP     10/04/2017    04:10:34
