BOYNAME     |      RELATIONSHIP      |       GIRLNAME       |       DATE       |      TIME
-----------------------------------------------------------------------------------------------------------
BSENGVV     is commited to     GGFFLKQ       10/04/2017    04:10:34
PMKEKKT     is commited to     QJLNEGU       10/04/2017    04:10:34
SOQXVON     is commited to     PTSPOLG       10/04/2017    04:10:34
RNYMWID     is commited to     MFVRGKE       10/04/2017    04:10:34
ORCKQYI     is commited to     UKFIVCQ       10/04/2017    04:10:34
FGHHPNC     is commited to     WXRKGJP       10/04/2017    04:10:34
FTQDYCB     is commited to     UFSFUBY       10/04/2017    04:10:34
XUHINFK     is commited to     QEQQETG       10/04/2017    04:10:34
EKOPTUC     is commited to     HNTGABO       10/04/2017    04:10:34
CGRDPXF     is commited to     MGUDKSI       10/04/2017    04:10:34
UFULBRR     is commited to     SXOJJTJ       10/04/2017    04:10:34
LVECQIA     is commited to     ANKCMYP       10/04/2017    04:10:34
UDGTWNC     is commited to     INYDPFP       10/04/2017    04:10:34
LDWWIJR     is commited to     GGHMSFY       10/04/2017    04:10:34
MHLINJT     is commited to     BGSGFDR       10/04/2017    04:10:34
TCGNYPA     is commited to     DITKUXK       10/04/2017    04:10:34
KQVIOCO     is commited to     PQVLFPX       10/04/2017    04:10:34
PGILQBE     is commited to     BPRFLBL       10/04/2017    04:10:34
